Angolo&Seno&Coseno&Tangente
45&0,707106781186548&0,707106781186548&1
46&0,719339800338651&0,694658370458997&1,03553031379057
47&0,73135370161917&0,681998360062498&1,07236871002468
48&0,743144825477394&0,669130606358858&1,11061251482919
49&0,754709580222772&0,656059028990507&1,15036840722101
50&0,766044443118978&0,642787609686539&1,19175359259421
51&0,777145961456971&0,629320391049837&1,23489715653505
52&0,788010753606722&0,615661475325658&1,27994163219308
53&0,798635510047293&0,601815023152048&1,32704482162041
54&0,809016994374947&0,587785252292473&1,37638192047117
55&0,819152044288992&0,573576436351046&1,42814800674211
56&0,829037572555042&0,559192903470747&1,48256096851274
57&0,838670567945424&0,544639035015027&1,53986496381458
58&0,848048096156426&0,529919264233205&1,60033452904105
59&0,857167300702112&0,515038074910054&1,66427948235052
60&0,866025403784439&0,5&1,73205080756888
61&0,874619707139396&0,484809620246337&1,80404775527142
62&0,882947592858927&0,469471562785891&1,88072646534633
63&0,891006524188368&0,453990499739547&1,96261050550515
64&0,898794046299167&0,438371146789077&2,0503038415793
65&0,90630778703665&0,422618261740699&2,14450692050956
66&0,913545457642601&0,4067366430758&2,24603677390422
67&0,92050485345244&0,390731128489274&2,35585236582375
68&0,927183854566787&0,374606593415912&2,4750868534163
69&0,933580426497202&0,3583679495453&2,6050890646938
70&0,939692620785908&0,342020143325669&2,74747741945462
71&0,945518575599317&0,325568154457157&2,90421087767582
72&0,951056516295153&0,309016994374947&3,07768353717525
73&0,956304755963035&0,292371704722737&3,27085261848414
74&0,961261695938319&0,275637355816999&3,48741444384091
75&0,965925826289068&0,258819045102521&3,73205080756888
76&0,970295726275996&0,241921895599668&4,01078093353585
77&0,974370064785235&0,224951054343865&4,33147587428416
78&0,978147600733806&0,207911690817759&4,70463010947845
79&0,981627183447664&0,190808995376545&5,14455401597031
80&0,984807753012208&0,17364817766693&5,67128181961771
81&0,987688340595138&0,156434465040231&6,31375151467504
82&0,99026806874157&0,139173100960065&7,11536972238421
83&0,992546151641322&0,121869343405147&8,14434642797459
84&0,994521895368273&0,104528463267653&9,51436445422259
85&0,996194698091746&0,087155742747658&11,4300523027613
86&0,997564050259824&0,069756473744125&14,3006662567119
87&0,998629534754574&0,052335956242944&19,0811366877282
88&0,999390827019096&0,034899496702501&28,6362532829155
89&0,999847695156391&0,017452406437284&57,2899616307591
90&1&0&
